Month,SignalScore
2019-01-01,92.25
2019-02-01,92.14
2019-03-01,93.46
2019-04-01,94.12
2019-05-01,90.13
2019-06-01,88.38
2019-07-01,89.34
2019-08-01,86.77
2019-09-01,84.26
2019-10-01,85.93
2019-11-01,85.26
2019-12-01,86.5
2020-01-01,88.81
2020-02-01,86.42
2020-03-01,86.85
2020-04-01,87.94
2020-05-01,85.91
2020-06-01,86.15
2020-07-01,82.56
2020-08-01,80.45
2020-09-01,84.11
2020-10-01,81.72
2020-11-01,83.01
2020-12-01,82.02
2021-01-01,84.58
2021-02-01,86.41
2021-03-01,84.66
2021-04-01,86.3
2021-05-01,83.48
2021-06-01,82.19
2021-07-01,79.97
2021-08-01,82.3
2021-09-01,78.84
2021-10-01,77.43
2021-11-01,81.09
2021-12-01,79.27
2022-01-01,82.66
2022-02-01,80.25
2022-03-01,81.35
2022-04-01,82.98
2022-05-01,82.44
2022-06-01,79.83
2022-07-01,77.65
2022-08-01,76.02
2022-09-01,73.6
2022-10-01,74.88
2022-11-01,76.11
2022-12-01,79.64
2023-01-01,79.81
2023-02-01,77.5
2023-03-01,80.77
2023-04-01,79.05
2023-05-01,77.26
2023-06-01,77.44
2023-07-01,76.32
2023-08-01,74.82
2023-09-01,71.5
2023-10-01,72.45
2023-11-01,74.25
2023-12-01,76.46
