CustomerID,CreditScore,LoanAmount,EngagementScore,RepaymentTerm,EmploymentType,DefaultRisk,ExperienceLevel,DeviceType,SessionTime,ProductViews,CartAdds
CUST00001,684,16198.066309758007,64.87232587538428,48,Gig Worker,Low,Intermediate,Tablet,283.72962984309083,6,1
CUST00002,640,14773.901048738306,72.83221993926723,24,Self-Employed,Low,Experienced,Desktop,212.88069699923693,2,2
CUST00003,695,12178.891109760523,63.11370118500058,12,Full-Time,Low,Experienced,Tablet,307.2153236821761,2,1
CUST00004,756,10059.189666883278,70.38057705541439,24,Full-Time,Low,New,Tablet,373.8237230816162,3,2
CUST00005,633,14094.66994084077,46.59577999569321,60,Self-Employed,Low,Experienced,Mobile,185.66610089161392,6,4
CUST00006,633,13180.456156265249,78.19940561059408,24,Part-Time,Medium,New,Tablet,308.7473753680739,8,3
CUST00007,760,14685.579660083196,75.01808213043337,48,Gig Worker,Low,Experienced,Desktop,323.3042951529484,4,1
CUST00008,703,13905.515405045908,62.74367053397714,12,Gig Worker,Medium,Intermediate,Tablet,228.19352163817356,3,3
CUST00009,617,15148.658145958005,84.88868502648607,48,Self-Employed,Low,New,Mobile,241.21436950919997,6,3
CUST00010,687,10394.294365318296,89.06355206439838,12,Part-Time,High,Experienced,Desktop,323.06108487662146,6,4
CUST00011,617,15952.182196902977,50.88660203446538,60,Full-Time,Medium,Intermediate,Mobile,186.6578981707377,8,3
CUST00012,617,12592.7988140772,63.55912832150679,12,Unemployed,Low,Experienced,Mobile,334.99237152493924,6,1
CUST00013,666,18225.782617875797,63.46286475319053,12,Unemployed,Medium,Intermediate,Tablet,210.46456263407998,6,2
CUST00014,516,9932.436545731296,60.90145348336703,12,Self-Employed,Low,Intermediate,Mobile,406.28536930332166,5,2
CUST00015,529,17207.891409495747,87.44212262897622,24,Part-Time,Medium,Experienced,Mobile,533.7827745388299,4,2
CUST00016,610,12593.732350387943,72.09260791840795,24,Part-Time,Low,Experienced,Desktop,213.92431982981805,5,3
CUST00017,579,10045.745989156654,71.03227738034084,60,Gig Worker,Medium,Intermediate,Mobile,353.4207862374675,5,2
CUST00018,671,10548.342497837035,44.9420645338987,12,Full-Time,Medium,Intermediate,Tablet,227.32580951179807,6,0
CUST00019,586,11038.95807541704,84.53127045313839,36,Part-Time,Low,Intermediate,Tablet,404.09541737977895,11,1
CUST00020,551,13272.49783920575,56.41112407719791,60,Unemployed,Low,New,Tablet,173.4741590914785,8,1
CUST00021,752,13568.506464106498,75.89898945399493,12,Full-Time,Medium,Intermediate,Mobile,348.05867584277127,7,1
CUST00022,634,10278.899988184263,79.16065406937288,12,Full-Time,Low,New,Desktop,212.70110331106474,7,1
CUST00023,654,11926.936223217052,95.40987893757976,24,Self-Employed,Low,Intermediate,Tablet,279.30154109016314,4,3
CUST00024,550,18426.81107583559,55.367694013213324,60,Part-Time,Low,New,Mobile,196.8974724852693,8,0
CUST00025,611,17182.629510302133,29.707317662687622,12,Self-Employed,Low,Intermediate,Tablet,382.23504708957535,6,2
CUST00026,657,13308.971009022096,77.75774317130542,12,Part-Time,High,Intermediate,Tablet,216.3019645560413,2,1
CUST00027,569,12114.0104345046,100.0,60,Gig Worker,Low,Intermediate,Desktop,355.19642593318275,4,2
CUST00028,676,12360.093980154785,93.58419529409156,36,Self-Employed,Low,Experienced,Tablet,265.5901971737667,0,1
CUST00029,607,13840.55391819125,78.14489122911938,60,Self-Employed,Medium,Experienced,Desktop,288.5527628201137,6,1
CUST00030,629,8931.622304404784,67.62545721551929,60,Unemployed,Medium,Intermediate,Mobile,314.77559074001283,0,1
CUST00031,607,11227.870387729965,87.10683894955966,36,Self-Employed,Low,New,Tablet,223.81753283411513,7,2
CUST00032,779,6994.247778367232,60.39680700443297,60,Part-Time,Low,New,Mobile,321.0367113540887,9,2
CUST00033,649,13197.669367815837,82.14536654034329,12,Unemployed,High,Intermediate,Mobile,453.0334564354411,7,2
CUST00034,575,13941.587819108223,82.5820523874994,60,Self-Employed,Medium,Experienced,Mobile,222.1905214167286,2,2
CUST00035,707,10550.440613101879,90.90314861248319,36,Self-Employed,Low,New,Tablet,417.18101432738445,4,1
CUST00036,564,16721.960289870098,100.0,48,Gig Worker,Low,Experienced,Desktop,449.80976334877846,8,1
CUST00037,664,8322.703010992976,80.88623950768151,60,Self-Employed,Low,New,Tablet,218.3845010971956,5,2
CUST00038,512,7606.87535937054,67.36554561438751,24,Full-Time,Low,Intermediate,Mobile,154.49453949094482,5,2
CUST00039,557,12673.355455679915,74.61638531712008,12,Unemployed,Low,Experienced,Desktop,330.19609001717646,6,3
CUST00040,663,15141.294907836464,48.46386142666323,12,Full-Time,Medium,New,Mobile,245.2592477233127,2,2
CUST00041,701,17051.783074373605,64.57930303366413,24,Unemployed,Low,Intermediate,Desktop,486.8603219163002,4,1
CUST00042,661,10623.34721139318,68.86076342830344,24,Gig Worker,Medium,Intermediate,Tablet,303.4807540499832,7,2
CUST00043,641,15236.042500293886,67.13867403098111,60,Self-Employed,Low,Intermediate,Desktop,219.78005919648209,3,2
CUST00044,628,11884.474591497878,77.28532308050583,24,Self-Employed,Medium,Experienced,Tablet,185.28404889882887,6,2
CUST00045,546,11482.11810017754,62.66370101426699,48,Self-Employed,Medium,Experienced,Mobile,408.99049590908305,2,2
CUST00046,599,14650.979812460017,91.81546000986707,36,Unemployed,Low,Intermediate,Desktop,242.88160259158136,8,2
