"ClientID","Age","Category","Investment","JoinDate"
"C001",39,"A",4197400,2024-01-23
"C002",64,"B",6808000,2024-03-07
"C003",45,"B",5292600,2024-01-09
"C004",69,"C",5032400,2024-03-01
"C005",72,"B",3720500,2024-02-08
"C006",27,"C",5854100,2024-01-31
"C007",51,"C",4043900,2024-03-13
"C008",70,"A",2600500,2024-02-05
"C009",53,"B",4950800,2024-01-22
"C010",48,"B",9479700,2024-02-13
"C011",73,"C",4490600,2024-02-10
"C012",48,"B",8114400,2024-02-12
"C013",59,"B",2666400,2024-02-08
"C014",NA,"C",5823400,2024-02-06
"C015",30,"A",7763000,2024-02-02
"C016",70,"B",6960400,2024-03-23
"C017",37,"A",6312300,2024-01-12
"C018",27,"C",4346200,2024-01-21
"C019",41,"A",3915000,2024-03-21
"C020",73,"B",3588000,2024-03-16
"C021",69,"A",6350200,2024-02-04
"C022",60,"B",3728200,2024-01-30
"C023",57,"B",4685100,2024-03-29
"C024",75,"B",5267800,2024-02-19
"C025",18,"B",15053200,2024-02-16
"C026",60,"C",4321900,2024-03-07
"C027",52,"B",6735200,2024-03-22
"C028",55,"B",6225400,2024-03-21
"C029",39,"B",3701500,2024-02-11
"C030",32,"A",5777700,2024-02-09
"C031",NA,"A",12328800,2024-02-11
"C032",70,"C",7503800,2024-01-26
"C033",60,"A",6112100,2024-01-13
"C034",65,"A",4847200,2024-01-20
"C035",26,"A",2144800,2024-01-20
"C036",49,"A",10541600,2024-03-24
"C037",63,"C",2884500,2024-02-10
"C038",36,"A",8668000,2024-01-08
"C039",41,"C",15552300,2024-02-08
"C040",37,"B",2908700,2024-03-14
"C041",32,"B",8504100,2024-03-21
"C042",46,"B",5251700,2024-03-03
"C043",46,"B",2728100,2024-03-22
"C044",43,"B",2807600,2024-01-11
"C045",33,"C",2688300,2024-01-02
"C046",32,"B",4591500,2024-01-19
"C047",37,"B",2882900,2024-03-17
"C048",48,"B",8445400,2024-01-13
"C049",38,"B",17110900,2024-01-31
"C050",68,"A",3146000,2024-01-30
"C051",NA,"C",8877600,2024-01-22
"C052",47,"B",8795000,2024-03-14
"C053",65,"B",7069300,2024-01-16
"C054",31,"B",3616400,2024-03-09
"C055",53,"B",5640300,2024-02-05
"C056",35,"B",5204200,2024-02-19
"C057",31,"A",7934000,2024-02-02
"C058",63,"B",4970100,2024-03-20
"C059",70,"B",9758600,2024-01-28
"C060",44,"B",4964800,2024-02-18
"C061",58,"A",10135200,2024-01-12
"C062",30,"B",3543300,2024-02-22
"C063",44,"A",3188600,2024-01-28
"C064",39,"B",30270700,2024-03-06
"C065",66,"B",4860900,2024-02-19
"C066",47,"A",6950200,2024-03-16
"C067",NA,"A",8231300,2024-02-16
"C068",66,"B",4701000,2024-02-20
"C069",65,"B",7753100,2024-01-06
"C070",47,"B",7200400,2024-03-20
"C071",63,"A",5376100,2024-01-15
"C072",56,"B",6186100,2024-01-19
"C073",61,"C",5886300,2024-02-28
"C074",25,"A",17355100,2024-01-03
"C075",49,"A",4133000,2024-02-02
"C076",36,"A",3461400,2024-02-17
"C077",44,"B",6101600,2024-03-15
"C078",56,"A",6992900,2024-02-14
"C079",NA,"C",7447800,2024-01-10
"C080",31,"A",4761100,2024-02-11
"C081",37,"C",3518400,2024-01-24
"C082",58,"B",11260000,2024-01-18
"C083",46,"A",5027100,2024-03-21
"C084",64,"B",3884100,2024-03-24
"C085",30,"A",5320200,2024-02-28
"C086",47,"B",5425300,2024-01-09
"C087",74,"B",10429300,2024-02-22
"C088",70,"A",6246500,2024-01-11
"C089",69,"C",8729300,2024-01-08
"C090",95,"C",4664700,2024-01-05
"C091",32,"B",6665100,2024-01-29
"C092",58,"B",5090200,2024-02-19
"C093",42,"C",6277400,2024-03-10
"C094",58,"A",3826600,2024-03-14
"C095",41,"C",3108900,2024-01-26
"C096",34,"B",16252800,2024-03-13
"C097",64,"B",8085000,2024-01-11
"C098",30,"A",3202800,2024-01-06
"C099",48,"B",4410900,2024-03-16
"C100",51,"A",3309900,2024-03-23
